categoria,toxico,alias,region_relevancia,via_exposicion,sintomas_base,signos_gravedad,dosis_toxica_referencia,tipo_referencia_dosis,poblacion_referencia,estado_dosis,antidoto_tratamiento_base,descontaminacion,tratamiento_especifico,antidoto,dosis_antidoto_referencia,monitorizacion,criterios_observacion_uci,fuente,url_fuente,fuente_libro,paginas_libro,fecha_revision,estado_revision,notas
HIMENÓPTEROS,HORMIGA DE FUEGO,Solenopsis spp.; fire ant,América/zonas tropicales,picadura,"Dolor urente, eritema y pústula estéril típica; prurito. Puede desencadenar urticaria generalizada o anafilaxia.","Anafilaxia, broncoespasmo, hipotensión, edema de vía aérea.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Limpieza, frío local y control sintomático; anafilaxia según protocolo.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",Adrenalina IM si anafilaxia.,Adrenalina para anafilaxia.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",NCBI Bookshelf - Insect Bites,https://www.ncbi.nlm.nih.gov/books/NBK537235/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
ORUGAS,LONOMIA SPP. / LONOMISMO,oruga Lonomia; lagarta espinhuda,Sudamérica,contacto con cerdas,"Dolor/ardor local seguido de cefalea, náuseas y, horas después, equimosis y sangrado cutáneo/mucoso por coagulopatía de consumo/fibrinólisis.","Hematuria, sangrado visceral, coagulopatía marcada, hemorragia intracraneal, lesión renal aguda.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Traslado urgente; hemograma, coagulación, fibrinógeno y función renal; evitar procedimientos invasivos innecesarios.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",Suero antilonómico en envenenamiento moderado-grave donde esté disponible y según protocolo especializado.,Suero antilonómico.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",Ministerio da Saúde do Brasil - Acidentes por Lagartas,https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/a/animais-peconhentos/acidentes-por-lagartas/acidentes-por-lagartas/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
ORUGAS,MEGALOPYGE / ORUGA PELUDA URTICANTE,puss caterpillar; Megalopygidae,América,contacto con cerdas,"Dolor urente intenso, eritema y edema; puede haber cefalea, náuseas, espasmos y adenopatías.","Dolor desproporcionado, reacción sistémica o anafilaxia.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Retirar cerdas adheridas sin frotar, limpieza y analgesia; tratar reacción alérgica si aparece.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",No hay antiveneno de uso habitual; manejo sintomático.,Ninguno específico.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",Ministerio da Saúde do Brasil - Acidentes por Lagartas,https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/a/animais-peconhentos/acidentes-por-lagartas/acidentes-por-lagartas/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
ARTRÓPODOS,PARÁLISIS POR GARRAPATA,tick paralysis,Mundial,adherencia de garrapata,Debilidad ascendente y ataxia que progresa a arreflexia y parálisis flácida; puede comprometer respiración. Suele mejorar tras retirar la garrapata.,"Debilidad bulbar o respiratoria, progresión rápida de parálisis.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,Búsqueda corporal completa y retirada cuidadosa de la garrapata; soporte respiratorio si es necesario.,"Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",No hay antídoto universal; soporte y retirada del artrópodo.,Ninguno específico.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",CDC Yellow Book 2026 - Poisonings/Envenomations,https://www.ncbi.nlm.nih.gov/books/NBK620956/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
MARINOS,MEDUSA / CNIDARIO NO IDENTIFICADO,jellyfish; aguaviva,Mundial,contacto con tentáculos,"Dolor urente, lesiones lineales urticariales y prurito. Casos moderados-graves: náuseas, calambres, broncoespasmo, hipotensión, anafilaxia, edema pulmonar o arritmias.","Dificultad respiratoria, hipotensión, dolor torácico, alteración de conciencia o afectación extensa.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Retirar de la exposición, evitar frotar; manejo de tentáculos y lavado según especie/región; analgesia y soporte.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",El tratamiento de primeros auxilios depende de la especie; consultar protocolo local.,Antiveneno solo para especies concretas.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",NCBI Bookshelf - Cnidaria Toxicity,https://www.ncbi.nlm.nih.gov/books/NBK538170/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 451–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
MARINOS,FRAGATA PORTUGUESA (PHYSALIA PHYSALIS),carabela portuguesa; Portuguese man-of-war,Chile y costas templado-tropicales,contacto con tentáculos,"Dolor intenso tipo quemadura, eritema/ronchas lineales, edema; puede haber dolor abdominal, náuseas/vómitos, calambres, fasciculaciones, disnea, broncoespasmo, precordalgia y arritmias.","Disnea, broncoespasmo, dolor torácico, arritmia, síncope, anafilaxia o compromiso extenso.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Según MINSAL Chile: vinagre/ácido acético 4–6% 15–30 min si disponible, retirar tentáculos con protección, agua de mar si no hay vinagre y luego agua caliente ~45 °C por 20 min para dolor. No usar agua dulce ni frotar.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",Tratamiento sintomático; soporte de anafilaxia/cardiorrespiratorio si corresponde.,Ninguno específico.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",MINSAL Chile - Fragata Portuguesa 2025-2026,https://www.minsal.cl/campana-verano-2025-2026-fragata-portuguesa/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 451–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
MARINOS,MEDUSA CAJA (CHIRONEX SPP.),box jellyfish; sea wasp,Australia/Indo-Pacífico,contacto con tentáculos,"Dolor extremo y marcas lineales; envenenamiento importante puede causar colapso cardiovascular, arritmias y paro en minutos.","Colapso, arritmia, hipotensión, paro cardíaco, compromiso extenso.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Retirada rápida del agua, RCP si precisa; inactivar nematocistos y tratar según protocolo regional; analgesia y soporte avanzado.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",Antiveneno Chironex disponible en algunas regiones; uso según protocolo local.,Antiveneno Chironex donde esté disponible.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",CDC Yellow Book 2026 - Poisonings/Envenomations,https://www.ncbi.nlm.nih.gov/books/NBK620956/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 451–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
MARINOS,SÍNDROME IRUKANDJI,Carukia barnesi; jellyfish Irukandji,Australia/Indo-Pacífico,picadura,"Dolor local inicial a veces leve seguido de dolor lumbar/abdominal intenso, náuseas, vómitos, diaforesis, ansiedad, hipertensión y taquicardia.","Hipertensión extrema, edema pulmonar, arritmias, cardiomiopatía.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Analgesia potente, control de hipertensión y soporte cardiorrespiratorio en entorno monitorizado.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",No hay antiveneno específico de uso clínico habitual.,Ninguno específico.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",NCBI Bookshelf - Cnidaria Toxicity,https://www.ncbi.nlm.nih.gov/books/NBK538170/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 451–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
MARINOS,PEZ PIEDRA (SYNANCEIA),stonefish,Indo-Pacífico / viaje,punción por espina,"Dolor excruciante, edema rápidamente progresivo y coloración azulada; puede haber vómitos, arritmias, presión inestable, confusión, convulsiones y falla cardíaca.","Dolor intratable, edema progresivo, arritmias, hipotensión, convulsiones o shock.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Inmersión en agua caliente tolerable, analgesia, limpieza/exploración de herida y soporte; actualizar tétanos.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",Antiveneno de pez piedra donde esté disponible y en envenenamiento significativo.,Antiveneno stonefish regional.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",CDC Yellow Book 2026 - Poisonings/Envenomations,https://www.ncbi.nlm.nih.gov/books/NBK620956/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 451–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
MARINOS,PEZ LEÓN / PEZ ESCORPIÓN,lionfish; scorpionfish,Tropical/subtropical,punción por espina,"Dolor intenso, eritema, edema y parestesias; ocasionalmente náuseas, debilidad, síncope o alteraciones hemodinámicas.","Hipotensión, dolor refractario, edema extenso, compromiso sistémico.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Inmersión en agua caliente, analgesia, limpieza, búsqueda de espinas retenidas y profilaxis antitetánica según corresponda.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",No suele requerir antiveneno; soporte.,Ninguno específico de uso habitual.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",NCBI Bookshelf - Lionfish/Scorpionfish/Stonefish Toxicity,https://www.ncbi.nlm.nih.gov/books/NBK482204/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 451–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
MARINOS,RAYA / STINGRAY,raya marina; stingray,Mundial,punción/laceración por aguijón,"Dolor intenso, herida punzante/lacerante, sangrado, edema; puede haber náuseas, vómitos, síncope, hipotensión, arritmias y espasmos.","Herida torácica/abdominal, hemorragia importante, hipotensión, cuerpo extraño retenido.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Control de hemorragia, agua caliente para dolor, irrigación/exploración, imagen si sospecha de espina retenida y profilaxis antitetánica.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",No hay antiveneno específico.,Ninguno específico.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",CDC Yellow Book 2026 - Poisonings/Envenomations,https://www.ncbi.nlm.nih.gov/books/NBK620956/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 451–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
MARINOS,CARACOL CONO (CONUS SPP.),cone snail,Tropical Indo-Pacífico,punción por arpón,"Dolor o adormecimiento local, parestesias, debilidad, alteraciones visuales y progresión a parálisis generalizada, insuficiencia respiratoria, coma o colapso cardiovascular.","Debilidad progresiva, parálisis, hipoventilación, coma.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Inmovilización, traslado urgente, vigilancia y soporte ventilatorio/hemodinámico precoz.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",No existe antiveneno efectivo; soporte intensivo.,Ninguno específico.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",NCBI Bookshelf - Cone Snail Toxicity,https://www.ncbi.nlm.nih.gov/books/NBK470586/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 451–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
MARINOS,PULPO DE ANILLOS AZULES,Hapalochlaena; blue-ringed octopus,Indo-Pacífico,mordedura,"Mordedura a veces poco dolorosa seguida de parestesias, debilidad, parálisis flácida y falla respiratoria por tetrodotoxina; conciencia puede preservarse inicialmente.","Parálisis bulbar/respiratoria, apnea, hipotensión.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,Soporte ventilatorio inmediato y RCP si precisa; monitorización intensiva.,"Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",No hay antiveneno; soporte hasta resolución de la toxina.,Ninguno específico.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",CDC Yellow Book 2026 - Poisonings/Envenomations,https://www.ncbi.nlm.nih.gov/books/NBK620956/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 451–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
MARINOS,ERIZO DE MAR,sea urchin,Mundial,punción por espinas,"Dolor, edema, eritema y espinas retenidas; algunas especies causan parestesias, debilidad o síntomas sistémicos.","Dolor persistente, infección, compromiso articular/tendinoso, síntomas neurológicos o anafilaxia.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Agua caliente para dolor, limpieza, evaluación de espinas retenidas y de estructuras profundas; tétanos según corresponda.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",No hay antiveneno específico.,Ninguno específico.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",WHO Animal Bites / Invertebrates,https://www.who.int/news-room/fact-sheets/detail/animal-bites,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 451–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
MARINOS,ESTRELLA CORONA DE ESPINAS,crown-of-thorns starfish; Acanthaster,Indo-Pacífico,punción por espinas,"Dolor intenso, edema, eritema y posible náusea/vómito; espinas pueden quedar retenidas.","Compromiso sistémico, anafilaxia o lesión profunda.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Agua caliente, analgesia, limpieza y extracción de espinas accesibles; valoración de herida profunda.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",No hay antiveneno específico.,Ninguno específico.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",CDC Yellow Book 2026 - Poisonings/Envenomations,https://www.ncbi.nlm.nih.gov/books/NBK620956/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 451–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
MARINOS,ANÉMONA / CORAL DE FUEGO,sea anemone; fire coral,Tropical/subtropical,contacto cutáneo,"Dolor/ardor, eritema, pápulas o lesiones lineales; ocasional broncoespasmo o reacción alérgica sistémica.","Anafilaxia, broncoespasmo, compromiso ocular o afectación extensa.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Irrigar según protocolo marino, retirar material adherido sin frotar, analgesia y manejo de reacción alérgica.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",No hay antiveneno específico.,Ninguno específico.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",WHO Animal Bites / Invertebrates,https://www.who.int/news-room/fact-sheets/detail/animal-bites,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 451–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
MARINOS,PEZ GATO VENENOSO / CATFISH,venomous catfish spine,Mundial,punción por espina,"Dolor intenso, edema y herida punzante; espina retenida e infección son complicaciones relevantes.","Herida profunda, cuerpo extraño, neurovascular comprometido, infección sistémica.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Agua caliente, analgesia, irrigación/exploración y extracción de espina si procede; tétanos.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",No hay antiveneno específico.,Ninguno específico.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",CDC Yellow Book 2026 - Poisonings/Envenomations,https://www.ncbi.nlm.nih.gov/books/NBK620956/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 451–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
MARINOS,PEZ ARAÑA / WEEVERFISH,weever fish,Atlántico/Mediterráneo,punción por espina,"Dolor intenso inmediato, edema y eritema; puede acompañarse de cefalea, náuseas, debilidad o síncope.","Dolor refractario, edema progresivo, síncope/hipotensión.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Agua caliente, analgesia y cuidado de herida; valorar espina retenida.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",No hay antiveneno específico.,Ninguno específico.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",CDC Yellow Book 2026 - Poisonings/Envenomations,https://www.ncbi.nlm.nih.gov/books/NBK620956/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 451–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
MARINOS,TETRODOTOXINA / PEZ GLOBO,fugu; pufferfish; tetrodotoxin,Asia/océanos / alimentos,ingestión,"Parestesias periorales, náuseas, debilidad, ataxia y progresión a parálisis flácida; puede ocurrir apnea con conciencia preservada.","Debilidad bulbar, hipoventilación/apnea, bradicardia/hipotensión.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,Soporte ABC y ventilación mecánica si precisa; vigilancia intensiva.,"Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",No existe antídoto específico.,Ninguno específico.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",CDC Yellow Book 2026 - Marine Toxins,https://www.cdc.gov/yellow-book/hcp/environmental-hazards-risks/food-poisoning-from-marine-toxins.html,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 451–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
MARINOS,PALITOXINA / ZOÁNTIDOS,palytoxin; coral zoanthid,Acuarios/arrecifes,inhalación/aerosol/contacto/ingestión,"Irritación ocular y respiratoria, tos, disnea, dolor torácico, fiebre, mialgias; exposiciones intensas pueden causar broncoespasmo y toxicidad sistémica.","Hipoxemia, broncoespasmo grave, dolor torácico, arritmias.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Retirar de exposición, irrigación ocular/cutánea y soporte respiratorio; valoración hospitalaria si síntomas respiratorios.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",No hay antídoto específico.,Ninguno específico.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",CDC Yellow Book 2026 - Poisonings/Envenomations,https://www.ncbi.nlm.nih.gov/books/NBK620956/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 451–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
TOXINAS MARINAS,CIGUATERA,ciguatoxina; ciguatera fish poisoning,Tropical/subtropical,ingestión de pez de arrecife,"Gastroenteritis seguida de parestesias, disestesias, prurito y alteraciones de temperatura; puede haber bradicardia e hipotensión. Síntomas neurológicos pueden persistir.","Bradicardia sintomática, hipotensión, debilidad marcada, deshidratación o compromiso respiratorio.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Soporte, hidratación y tratamiento sintomático; monitorizar hemodinamia en casos moderados-graves.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",No existe antídoto específico demostrado.,Ninguno específico.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",CDC Yellow Book 2026 - Marine Toxins,https://www.cdc.gov/yellow-book/hcp/environmental-hazards-risks/food-poisoning-from-marine-toxins.html,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36 (animales marinos), pp. 451–454; complemento con fuentes abiertas actuales",2026-09-04,VALIDADO_FUENTE_ABIERTA,
