principio_activo,unidad_medida,concentracion,unidad_referencia,dosis_toxica_base,sintomas_base,antidoto_manejo_base,estado_validacion,clase_toxicologica,dosis_toxica_corregida,tipo_umbral,manifestaciones_clave,manejo_corregido,antidoto_especifico,fuente_principal,fuente_secundaria,nivel_evidencia,estado_revision,nota_revision,umbral_mgkg_automatizable,etiqueta_umbral,poblacion_umbral,permitir_comparacion_automatica,fecha_revision,id_revision,duplicado_exacto_nombre,orden_duplicado,correccion_clinicamente_relevante
CLORHEXIDINA,mg,4,TABLETA MASTICABLE,DL50 126 G APROX,"Reacciones cutáneas de hipersensibilidad, quemaduras químicas en neonatos.",MEDIDAS GENERALES,PENDIENTE_VALIDACION,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.  El valor original 'DL50 126 G APROX' no se usa como umbral automatizable.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0149,NO,1,NO
CLORHIDRATO DE ALFUZOSINA,mg,10,COMPRIMIDO,SDTE/ >10 MG DIA,"Astenia, malestar ; náusea, dolor abdominal, diarrea, sequedad de boca; desfa...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Alfa-1 bloqueador,SDTE — no hay umbral universal.,SDTE / CLASE,"Hipotensión ortostática, mareo, síncope, taquicardia refleja; shock en sobredosis grave.","Decúbito, cristaloides y vasopresores si precisa; vigilancia hemodinámica.",Ninguno específico,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,MECANISMO/CONSENSO,VALIDADO_POR_CLASE,,,,Mixta / depende de contexto,NO,2026-09-02,MED-0150,NO,1,NO
CLORMADINONA ACETATO,mg,2,TABLETA RECUBIERTA COLOR VERDE,SDTE,"Estado depresivo, nerviosismo, irritabilidad; mareos, migraña (y/o empeoramie...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0151,NO,1,NO
CLOROQUINA,mg,250,TABLETA,20MG/KG,"Dolor abdominal; anorexia, diarrea, náusea, vómitos; pérdida de peso; visión ...",MEDIDAS GENERALES,PENDIENTE_VALIDACION,4-aminoquinolina cardiotóxica,SDTE — no se automatiza un corte universal; una sobredosis puede deteriorarse rápidamente.,SDTE / ALTO_RIESGO,"Hipotensión, QRS/QT alterados, arritmias, hipokalemia, convulsiones y coma.","Manejo intensivo precoz: vía aérea, ECG continuo, epinefrina y diazepam en toxicidad grave según protocolos, corrección prudente de potasio y carbón activado precoz si es apropiado.",No hay antídoto único; epinefrina + diazepam son terapias específicas en toxicidad grave.,https://pubmed.ncbi.nlm.nih.gov/37721023/,,GUIA/REVISION,VALIDADO_POR_CLASE,El valor original '20MG/KG' no se usa como umbral automatizable.,,,Mixta / depende de contexto,NO,2026-09-02,MED-0152,NO,1,NO
CLORTALIDONA,mg,25,TABLETA,> 200 MG/DIA,"Alteraciones electrolíticas, erupción cutánea, hipotensión ortostática, arrit...",MEDIDAS GENERALES,PENDIENTE_VALIDACION,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.  El valor original '> 200 MG/DIA' no se usa como umbral automatizable.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0153,NO,1,NO
CLORURO DE TROSPIO,mg,30,TABLETA RECUBIERTA,SDTE/>45 MG /DIA,"Sequedad de boca, dispepsia, estreñimiento, empeoramiento del estreñimiento, ...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Anticolinérgico,SDTE — toxicidad clínica; no usar dosis máxima terapéutica como corte.,SDTE / TOXIDROME,"Midriasis, piel/mucosas secas, taquicardia, retención urinaria, íleo, agitación/delirium, hipertermia; convulsiones en gravedad.","Soporte, enfriamiento si precisa, benzodiacepinas para agitación/convulsiones, ECG y manejo de complicaciones. Fisostigmina solo en casos seleccionados por toxicología.",Fisostigmina solo en indicaciones seleccionadas y bajo toxicología.,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,TOXIDROME/CONSENSO,VALIDADO_POR_CLASE,,,,Mixta / depende de contexto,NO,2026-09-02,MED-0154,NO,1,NO
CLOTIAZEPAM,mg,10,TABLETA,SDTE/DMax 60 MG/DIA,"HIPOTENSION, BRADIPNEA, HIPOTERMIA, COMA, CONVULSIONES, HIPOREFLEXIA, EXITABI...",FLUMAZENIL,SIN_DOSIS_TOXICA_ESPECIFICA,Benzodiacepina / hipnótico sedante,SDTE — no hay una dosis tóxica única útil para automatizar; la gravedad es clínica y depende mucho de coingestas.,SDTE / CLINICO,"Depresión SNC leve-moderada, ataxia, disartria; depresión respiratoria profunda es infrecuente en sobredosis aislada y obliga a buscar coingestas.",Soporte y vigilancia respiratoria. Carbón activado generalmente contraindicado por riesgo de aspiración. Flumazenil está contraindicado en sobredosis intencional o mixta y solo se considera en escenarios seleccionados accidental/iatrogénico tras consulta toxicológica.,Flumazenil solo en escenarios seleccionados; NO uso rutinario.,https://www.rch.org.au/clinicalguide/guideline_index/Benzodiazepine_poisoning/,,GUIA CLINICA,VALIDADO_POR_CLASE,Se retiraron cifras de dosis 'tóxica' no fiables de varias benzodiacepinas. Se corrigió o restringió una recomendación específica de la base original que podía inducir manejo inapropiado si se automatizaba.,,,Mixta / depende de contexto,NO,2026-09-02,MED-0155,NO,1,SI
CLOTRIMAZOL,mg,200,CAPSULA BLANDA VAGINAL (OVULO),SDTE,"Reacciones alérgicas (síncope, hipotensión, disnea, urticaria); descamación v...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0156,NO,1,NO
CLOZAPINA,mg,25,TABLETA,62.5MG O >10MG/KG,"RIGIDEZ MUSCULAR, FIEBRE, DIAFORESIS, DISFAGIA, TEMBLOR, INCONTINENCIA, CONFU...",DANTROLENO,PENDIENTE_VALIDACION,Antipsicótico,SDTE — no usar una dosis terapéutica máxima como umbral de toxicidad. La toxicidad varía por agente y formulación.,SDTE / CLASE,"Depresión SNC, taquicardia, hipotensión, anticolinergia o síntomas extrapiramidales; algunos agentes prolongan QT o producen arritmia.","Soporte, ECG y vigilancia neurológica/hemodinámica. Tratar hipotensión, convulsiones y distonía según clínica; consultar toxicología en exposición significativa.",Ninguno específico,https://pubmed.ncbi.nlm.nih.gov/37721023/,https://www.rch.org.au/clinicalguide/guideline_index/Risperidone_Poisoning/,CLASE/CONSENSO,VALIDADO_POR_CLASE,El valor original '62.5MG O >10MG/KG' no se usa como umbral automatizable. Se corrigió o restringió una recomendación específica de la base original que podía inducir manejo inapropiado si se automatizaba.,,,Mixta / depende de contexto,NO,2026-09-02,MED-0157,NO,1,SI
COBICISTAT,mg,150,TABLETAS RECUBIERTAS,SDTE,"Hiperglucemia, aumento del apetito; insomnio, sueños anómalos; cefalea, mareo...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0158,NO,1,NO
CODEINA,mg,15,TABLETA,6 G/DU,"Triada: Miosis (pupilas puntiformes), Depresión respiratoria, Coma hipoxia y ...",NALOXONA,PENDIENTE_VALIDACION,Opioide,"SDTE — no existe un umbral universal seguro; evaluar por clínica, formulación, tolerancia y coingestas.",SDTE / CLINICO,"Miosis, depresión SNC y respiratoria, bradicardia/hipotensión en gravedad.",Prioridad: ventilación/oxigenación. Naloxona titulada para revertir depresión respiratoria; repetir o infundir según duración del opioide. Observar recurrencia tras naloxona y considerar coingestas.,Naloxona,https://pubmed.ncbi.nlm.nih.gov/37721023/,,GUIA AHA,VALIDADO_POR_CLASE,El valor original '6 G/DU' no se usa como umbral automatizable.,,,Mixta / depende de contexto,NO,2026-09-02,MED-0159,NO,1,NO
COLCHICINA,mg,0.5,TABLETA.,0.5-0.8MG/KG,"Diarrea,náuseas, vómitos, dolor abdominal. Otra reacción adversas identificad...",MEDIDAS GENERALES,PENDIENTE_VALIDACION,Antimitótico / multiorgánico,SDTE — tiene margen terapéutico estrecho y no debe simplificarse a un único corte seguro/tóxico.,SDTE / ALTO_RIESGO,"Fase GI inicial seguida de shock, falla multiorgánica, arritmias y mielosupresión; mortalidad puede ser alta.",Atención intensiva y soporte precoz; carbón activado puede considerarse temprano en exposición significativa con toxicología. No hay antídoto específico disponible de uso rutinario.,Ninguno específico,https://pubmed.ncbi.nlm.nih.gov/36028733/,,REVISION SISTEMATICA,VALIDADO_ESPECIFICO,,,,Mixta / depende de contexto,NO,2026-09-02,MED-0160,NO,1,NO
COLECALCIFEROL,UI,100000,CÁPSULAS BLANDAS,SDTE,"Administración excesiva y durante periodos largos: hipercalcemia, anorexia, c...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Vitamina D / análogo,SDTE — la toxicidad depende de hipercalcemia y suele relacionarse con exposición repetida o dosis muy altas; no usar un corte genérico.,CLINICO_LABORATORIO,"Náuseas, poliuria/polidipsia, deshidratación, debilidad, confusión, lesión renal y arritmias por hipercalcemia.","Suspender vitamina D/calcio, medir calcio, fósforo, función renal y ECG si grave; tratar hipercalcemia según severidad y protocolo.",Ninguno específico,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,MECANISMO/REVISION_CONSERVADORA,VALIDADO_POR_CLASE,,,,Mixta / depende de contexto,NO,2026-09-02,MED-0161,NO,1,NO
CONDROITINA SULFATO,mg,400,CÁPSULA DURA,SDTE,Raras: náuseas y/o alteraciones gastrointestinales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0162,NO,1,NO
CRIZOTINIB,mg,200,CAPSULA DURA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0163,NO,1,NO
DABIGATRAN,mg,110,CAPSULA DURA,SDTE/DMax 300 MG/DIA,"En Ind.1: disminución de HB, función hepática/PHF anómalas. En Ind.2: anemia,...",idarucizumab,SIN_DOSIS_TOXICA_ESPECIFICA,Anticoagulante oral directo — inhibidor de trombina,"SDTE — la dosis ingerida sola no define necesidad de reversión; valorar sangrado, tiempo, función renal y coagulación.",CLINICO_HEMORRAGIA,"Sangrado, anemia, hipotensión/shock si hemorragia grave.","Suspender, soporte/hemostasia. Hemorragia potencialmente mortal o no controlada: idarucizumab; hemodiálisis puede eliminar dabigatrán en escenarios seleccionados.",Idarucizumab,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001193,,GUIA ACC/AHA,VALIDADO_ESPECIFICO,,,,Mixta / depende de contexto,NO,2026-09-02,MED-0164,NO,1,NO
DACOMITINIB,mg,15,TABLETA RECUBIERTA DE COLOR AZUL GRABADA CON EL TEXTO PFIZER EN UNA CARA Y DC...,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0165,NO,1,NO
DANAZOL,mg,200,CAPSULA,SDTE,"Aumento de peso, acné, aumento del apetito, seborrea, hirsutismo, pérdida de ...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0166,NO,1,NO
DANURAVIR,mg,800,TABLETAS,SDTE,SINTOMAS GENERALES,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0167,NO,1,NO
DAPAGLIFLOZINA,mg,10,COMPRIMIDO,SDTE/DMax 10 MG /DIA,"Vulvovaginitis, balanitis e infecciones genitales relacionadas o del tracto u...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Inhibidor SGLT2,"SDTE — la toxicidad aguda aislada suele ser limitada; vigilar complicaciones metabólicas, especialmente con enfermedad/interacciones.",SDTE / CLINICO,"Deshidratación, hipotensión; riesgo de cetoacidosis euglucémica en contextos predisponentes, aunque no es una relación simple dosis-respuesta de sobredosis.","Soporte, glucosa/cetonas/gas si síntomas o acidosis; tratar cetoacidosis según protocolo.",Ninguno específico,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,MECANISMO/REVISION,VALIDADO_POR_CLASE,,,,Mixta / depende de contexto,NO,2026-09-02,MED-0168,NO,1,NO
DAPOXETINA,mg,30,TABLETA RECUBIERTA,STDE/DMax > 60MG/DIA,"Insomnio, ansiedad, agitación, inquietud, disminución de la libido, sueños an...",MEDIDAS GENERALES,PENDIENTE_VALIDACION,Serotonérgico / antidepresivo relacionado,SDTE — no se automatiza un umbral común.,SDTE / CLASE,"Náuseas, somnolencia o agitación; riesgo de serotoninotoxicidad aumenta con coingestas serotonérgicas. Algunos agentes pueden alterar QT.","Soporte; benzodiacepinas, enfriamiento y medidas dirigidas si serotoninotoxicidad. ECG según agente y exposición.",Ninguno específico,https://www.rch.org.au/clinicalguide/guideline_index/Serotonin_and_Noradrenaline_Re-uptake_Inhibitors_SNRIs_Poisoning/,,CLASE/CONSENSO,VALIDADO_POR_CLASE,,,,Mixta / depende de contexto,NO,2026-09-02,MED-0169,NO,1,NO
DAPSONA,mg,100,TABLETA,5 MG/KG,"Eritema, sequedad, grasitud/descamación de la piel en el sitio de la aplicación",MEDIDAS GENERALES,PENDIENTE_VALIDACION,Oxidante / metahemoglobinemia,"SDTE — la gravedad debe guiarse por clínica y metahemoglobina, con posibilidad de rebote por vida media prolongada.",CLINICO_LABORATORIO,"Cianosis, hipoxia aparente, cefalea, alteración de conciencia, hemólisis; metahemoglobinemia puede ser prolongada/recurrente.","Soporte, cooximetría; azul de metileno si metahemoglobinemia significativa/sintomática y no hay contraindicaciones. Considerar rebote y consulta toxicológica.",Azul de metileno,https://pubmed.ncbi.nlm.nih.gov/37721023/,,MECANISMO/GUIA AHA,VALIDADO_ESPECIFICO,,,,Mixta / depende de contexto,NO,2026-09-02,MED-0170,NO,1,NO
DARIFENACINA,mg,17858,TABLETA DE LIBERACIÓN PROLONGADA.,SDTE/ DMax 7.5 MG/DIA,"Estreñimiento, hiposialia, náuseas; cefalea, dispepsia, dolor abdominal, hipo...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Anticolinérgico,SDTE — toxicidad clínica; no usar dosis máxima terapéutica como corte.,SDTE / TOXIDROME,"Midriasis, piel/mucosas secas, taquicardia, retención urinaria, íleo, agitación/delirium, hipertermia; convulsiones en gravedad.","Soporte, enfriamiento si precisa, benzodiacepinas para agitación/convulsiones, ECG y manejo de complicaciones. Fisostigmina solo en casos seleccionados por toxicología.",Fisostigmina solo en indicaciones seleccionadas y bajo toxicología.,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,TOXIDROME/CONSENSO,VALIDADO_POR_CLASE,,,,Mixta / depende de contexto,NO,2026-09-02,MED-0171,NO,1,NO
DAROLUTAMIDA,mg,300,TABLETA RECUBIERTA,SDTE/DMax 1800 MG/DIA,"En CPRCnm: cardiopatía isquémica, insuficiencia cardíaca; erupción; dolor en ...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0172,NO,1,NO
DARUNAVIR,mg,600,COMPRIMIDOS RECUBIERTOS,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0173,NO,1,NO
DASATINIB,mg,50,TABLETA RECUBIERTA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0174,NO,1,NO
DECUALINIO,mg,0.25,TABLETA,SDTE,"Ocasionalmente: irritación de garganta, ronquera, tos.",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0175,NO,1,NO
